"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.989209806E0,-1.901250076E1,6.187500358E-1,-4.961250305E1,5.313434385E1
2.999209806E0,-1.882500076E1,4.875000119E-1,-4.974375153E1,5.318890040E1
3.009209806E0,-1.856250000E1,3.937500119E-1,-4.995000076E1,5.328906099E1
3.019209806E0,-1.871250153E1,4.125000238E-1,-4.976250076E1,5.316610153E1
3.029209806E0,-1.869375038E1,3.000000119E-1,-4.995000076E1,5.333431240E1
3.039209806E0,-1.886250114E1,1.687500030E-1,-4.981875229E1,5.327035297E1
3.049209806E0,-1.882500076E1,2.250000089E-1,-4.983750153E1,5.327483306E1
3.059209806E0,-1.888125038E1,9.375000000E-2,-4.991250229E1,5.336448529E1
3.069209806E0,-1.899375153E1,-0.000000000E0,-4.976250076E1,5.326414441E1
3.079209806E0,-1.899375153E1,-0.000000000E0,-4.976250076E1,5.326414441E1
3.089209806E0,-1.908750153E1,9.375000000E-2,-4.965000153E1,5.319270772E1
3.099209806E0,-1.912500000E1,2.250000089E-1,-4.972500229E1,5.327656241E1
3.109209806E0,-1.910625076E1,3.937500119E-1,-4.980000305E1,5.334083015E1
3.119209806E0,-1.933125114E1,3.937500119E-1,-4.993125153E1,5.354420780E1
3.129209806E0,-1.927500153E1,2.812500000E-1,-4.972500229E1,5.333086009E1
3.139209806E0,-1.931250000E1,4.500000179E-1,-4.983750153E1,5.345046038E1
3.149209806E0,-1.912500000E1,4.312500060E-1,-5.013750076E1,5.366302809E1
3.159209806E0,-1.936875153E1,4.312500060E-1,-5.032500076E1,5.392532071E1
3.169209806E0,-1.948125076E1,3.000000119E-1,-5.030625153E1,5.394745660E1
