"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.337842461E0,-1.108125019E1,7.837500095E0,-3.990000153E1,4.214535129E1
2.347842461E0,-1.096875000E1,7.987500191E0,-3.997500229E1,4.221509735E1
2.357842461E0,-1.108125019E1,7.968750477E0,-3.988125229E1,4.215221672E1
2.367842461E0,-1.087500000E1,8.175000191E0,-3.991875076E1,4.217348593E1
2.377842461E0,-1.080000019E1,8.137500763E0,-3.982500076E1,4.205816934E1
2.387842461E0,-1.059375000E1,8.193750381E0,-3.986250305E1,4.205216087E1
2.397842461E0,-1.055625057E1,8.081250191E0,-3.969375229E1,4.186090063E1
2.407842461E0,-1.023750019E1,8.250000000E0,-3.978750229E1,4.190363049E1
2.417842461E0,-1.023750019E1,8.193750381E0,-4.008750153E1,4.217762125E1
2.427842461E0,-1.010625076E1,8.118750572E0,-4.014375305E1,4.218496562E1
2.437842461E0,-1.005000019E1,8.081250191E0,-4.044375229E1,4.245004367E1
2.447842461E0,-1.023750019E1,7.912500381E0,-4.042500305E1,4.244519931E1
2.457842461E0,-1.012500000E1,7.893750191E0,-4.029375076E1,4.228963546E1
2.467842461E0,-1.016250038E1,7.875000477E0,-4.046250153E1,4.245593099E1
2.477842461E0,-9.993750572E0,7.931250095E0,-4.074375153E1,4.269464916E1
2.487842461E0,-1.014375019E1,7.818750381E0,-4.080000305E1,4.276293693E1
2.497842461E0,-1.014375019E1,7.856250286E0,-4.080000305E1,4.276980928E1
2.507842461E0,-1.012500000E1,8.025000572E0,-4.091250229E1,4.290395206E1
2.517842461E0,-9.975000381E0,7.950000286E0,-4.095000076E1,4.289062485E1
2.527842461E0,-9.712500572E0,8.062500000E0,-4.100625229E1,4.290511975E1
2.537842461E0,-9.787500381E0,8.043750763E0,-4.096875000E1,4.288281202E1
2.547842461E0,-9.768750191E0,7.987500191E0,-4.072500229E1,4.263513165E1
2.557842461E0,-9.993750572E0,8.006250381E0,-4.057500076E1,4.254768833E1
2.567842461E0,-1.012500000E1,7.912500381E0,-4.046250153E1,4.245394348E1
2.577842461E0,-1.020000076E1,8.006250381E0,-4.040625000E1,4.243589400E1
2.587842461E0,-1.059375000E1,7.631250381E0,-4.005000305E1,4.212441413E1
2.597842461E0,-1.066875076E1,7.875000477E0,-3.984375000E1,4.199240752E1
2.607842461E0,-1.098750019E1,7.781250477E0,-3.976875305E1,4.198603028E1
2.617842461E0,-1.110000038E1,7.875000477E0,-3.982500076E1,4.208629619E1
2.627842461E0,-1.106250000E1,7.987500191E0,-4.012500000E1,4.238153714E1
2.637842461E0,-1.096875000E1,7.987500191E0,-4.018125153E1,4.241045402E1
2.647842461E0,-1.102500057E1,8.118750572E0,-4.018125153E1,4.244994373E1
2.657842461E0,-1.093125057E1,7.893750191E0,-4.023750305E1,4.243654301E1
2.667842461E0,-1.063125038E1,8.100000381E0,-4.031250000E1,4.247035610E1
2.677842461E0,-1.095000076E1,7.950000286E0,-4.025625229E1,4.246964645E1
2.687842461E0,-1.076250076E1,7.875000477E0,-4.029375076E1,4.244329636E1
2.697842461E0,-1.078125000E1,7.893750191E0,-4.044375229E1,4.259394021E1
2.707842461E0,-1.080000019E1,7.612500191E0,-4.014375305E1,4.226240732E1
2.717842461E0,-1.095000076E1,7.462500095E0,-4.010625076E1,4.223864078E1
2.727842461E0,-1.072500038E1,7.462500095E0,-3.999375153E1,4.207391950E1
2.737842461E0,-1.066875076E1,7.443750381E0,-4.005000305E1,4.210978992E1
2.747842461E0,-1.085625076E1,7.387500286E0,-3.999375153E1,4.209434050E1
2.757842461E0,-1.055625057E1,7.387500286E0,-3.976875305E1,4.180386712E1
2.767842461E0,-1.065000057E1,7.350000381E0,-3.965625000E1,4.171406456E1
2.777842461E0,-1.059375000E1,7.406250477E0,-3.952500153E1,4.158492312E1
2.787842461E0,-1.076250076E1,7.650000095E0,-3.956250000E1,4.170785694E1
2.797842461E0,-1.074375057E1,7.612500191E0,-3.956250000E1,4.169615980E1
2.807842461E0,-1.089375019E1,7.443750381E0,-3.975000000E1,4.188252276E1
2.817842461E0,-1.111875057E1,7.481250286E0,-3.948750305E1,4.169962371E1
2.827842461E0,-1.104375076E1,7.518750191E0,-3.956250000E1,4.175748366E1
2.837842461E0,-1.111875057E1,7.575000286E0,-3.961875153E1,4.184080205E1
2.847842461E0,-1.098750019E1,7.668750286E0,-3.988125229E1,4.207195236E1
2.857842461E0,-1.100625038E1,7.631250381E0,-3.986250305E1,4.205226129E1
2.867842461E0,-1.104375076E1,7.500000477E0,-3.982500076E1,4.200291804E1
2.877842461E0,-1.113750076E1,7.368750095E0,-3.982500076E1,4.200444128E1
2.887842461E0,-1.108125019E1,7.443750381E0,-3.984375000E1,4.202056567E1
2.897842461E0,-1.089375019E1,7.518750191E0,-4.012500000E1,4.225187597E1
2.907842461E0,-1.100625038E1,7.425000191E0,-4.010625076E1,4.224665106E1
2.917842461E0,-1.100625038E1,7.443750381E0,-4.044375229E1,4.257046002E1
2.927842461E0,-1.102500057E1,7.556250095E0,-4.035000229E1,4.250612000E1
2.937842461E0,-1.102500057E1,7.462500095E0,-4.040625000E1,4.254297338E1
2.947842461E0,-1.083750057E1,7.537500381E0,-4.053750229E1,4.263278577E1
2.957842461E0,-1.066875076E1,7.575000286E0,-4.066875076E1,4.272177619E1
2.967842461E0,-1.065000057E1,7.650000095E0,-4.066875076E1,4.273046106E1
2.977842461E0,-1.087500000E1,7.706250191E0,-4.044375229E1,4.258343594E1
2.987842461E0,-1.063125038E1,7.668750286E0,-4.057500076E1,4.263993319E1
2.997842461E0,-1.068750000E1,7.575000286E0,-4.040625000E1,4.247667977E1
3.007842461E0,-1.072500038E1,7.387500286E0,-4.050000000E1,4.254234119E1
3.017842461E0,-1.085625076E1,7.275000095E0,-4.046250153E1,4.252055781E1
3.027842461E0,-1.106250000E1,7.143750191E0,-4.036875153E1,4.246231474E1
3.037842461E0,-1.113750076E1,7.331250191E0,-4.016250229E1,4.231805457E1
3.047842461E0,-1.119375038E1,7.256250381E0,-3.997500229E1,4.214206954E1
3.057842461E0,-1.108125019E1,7.443750381E0,-3.990000153E1,4.207390696E1
3.067842461E0,-1.128750038E1,7.575000286E0,-3.984375000E1,4.209884450E1
3.077842461E0,-1.130625057E1,7.537500381E0,-3.988125229E1,4.213264172E1
3.087842461E0,-1.134375000E1,7.668750286E0,-3.960000229E1,4.190048420E1
3.097842461E0,-1.125000000E1,7.912500381E0,-3.958125305E1,4.190281322E1
3.107842461E0,-1.111875057E1,8.025000572E0,-3.954375076E1,4.185373905E1
3.117842461E0,-1.115625000E1,8.025000572E0,-3.982500076E1,4.212948177E1
3.127842461E0,-1.115625000E1,8.231250763E0,-3.984375000E1,4.218696265E1
3.137842461E0,-1.125000000E1,7.931250095E0,-4.005000305E1,4.234937984E1
3.147842461E0,-1.093125057E1,8.175000191E0,-4.016250229E1,4.241873946E1
3.157842461E0,-1.087500000E1,8.250000000E0,-4.031250000E1,4.256084799E1
3.167842461E0,-1.063125038E1,8.306250572E0,-4.057500076E1,4.275918580E1
3.177842461E0,-1.074375057E1,8.100000381E0,-4.070625305E1,4.287233630E1
3.187842461E0,-1.074375057E1,8.006250381E0,-4.081875229E1,4.296159634E1
3.197842461E0,-1.085625076E1,7.950000286E0,-4.051875305E1,4.269461364E1
3.207842461E0,-1.072500038E1,7.837500095E0,-4.048125076E1,4.260497276E1
3.217842461E0,-1.050000000E1,8.062500000E0,-4.042500305E1,4.253745147E1
3.227842461E0,-1.081875038E1,7.650000095E0,-4.012500000E1,4.225616507E1
3.237842461E0,-1.083750057E1,7.800000191E0,-3.993750000E1,4.211051327E1
3.247842461E0,-1.111875057E1,7.650000095E0,-3.978750229E1,4.201421729E1
