"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.917156475E0,-1.535625076E1,-4.991250229E1,-2.190000153E1,5.662757622E1
2.927156475E0,-1.584375095E1,-5.030625153E1,-2.190000153E1,5.710826082E1
2.937156475E0,-1.563750076E1,-4.995000076E1,-2.210625076E1,5.681742980E1
2.947156475E0,-1.561875057E1,-4.996875381E1,-2.253750038E1,5.699790041E1
2.957156475E0,-1.556250095E1,-4.987500381E1,-2.283750153E1,5.701981162E1
2.967156475E0,-1.539375019E1,-4.963125229E1,-2.291250038E1,5.679094490E1
2.977156475E0,-1.552500057E1,-4.940625381E1,-2.265000153E1,5.652456216E1
2.987156475E0,-1.571250057E1,-4.910625076E1,-2.265000153E1,5.631455502E1
2.997156475E0,-1.599375057E1,-4.865625381E1,-2.259375000E1,5.597953762E1
3.007156475E0,-1.633125114E1,-4.777500153E1,-2.257500076E1,5.530633955E1
3.017156475E0,-1.687500000E1,-4.749375153E1,-2.263125038E1,5.525029912E1
3.027156475E0,-1.764375114E1,-4.700625229E1,-2.218125153E1,5.488986817E1
3.037156475E0,-1.809375000E1,-4.638750076E1,-2.210625076E1,5.447816387E1
3.047156475E0,-1.850625038E1,-4.561875153E1,-2.205000114E1,5.394213886E1
3.057156475E0,-1.869375038E1,-4.498125076E1,-2.248125076E1,5.364863334E1
3.067156475E0,-1.899375153E1,-4.453125000E1,-2.253750038E1,5.340162682E1
3.077156475E0,-1.906875038E1,-4.398750305E1,-2.251875114E1,5.296802638E1
3.087156475E0,-1.912500000E1,-4.383750153E1,-2.236875153E1,5.280012509E1
3.097156475E0,-1.895625114E1,-4.350000000E1,-2.248125076E1,5.250710517E1
3.107156475E0,-1.871250153E1,-4.335000229E1,-2.246250153E1,5.228713404E1
3.117156475E0,-1.854375076E1,-4.333125305E1,-2.248125076E1,5.221948697E1
3.127156475E0,-1.846875000E1,-4.346250153E1,-2.227500153E1,5.221359457E1
3.137156475E0,-1.828125000E1,-4.353750229E1,-2.205000114E1,5.211449662E1
